Designator,Mid X,Mid Y,Rotation,Layer
C1,175.4,-92.7675,90.0,top
C10,154.335113,-119.2,180.0,top
C11,183.0,-123.85,180.0,top
C12,154.630707,-125.13,90.0,top
C2,154.335113,-91.0375,180.0,top
C3,142.8,-93.0,270.0,top
C4,154.665,-97.03,90.0,top
C5,183.0,-90.85,180.0,top
C6,142.8,-100.4,270.0,top
C7,183.0,-99.55,180.0,top
C8,175.9,-120.33,90.0,top
C9,183.0,-115.15,180.0,top
CF1,157.88,-90.5,270.0,top
CF2,160.457616,-91.1,270.0,top
CF3,173.36151,-102.5375,270.0,top
CF4,171.06151,-101.9375,270.0,top
CF5,157.818808,-118.302624,270.0,top
CF6,160.457616,-118.902624,270.0,top
CF7,170.98,-129.702624,270.0,top
CF8,173.38,-130.3,270.0,top
D1,143.6,-83.36,180.0,top
J1,181.85,-106.1,0.0,top
J3,133.26,-92.95,90.0,top
J4,133.65,-102.9,90.0,top
J5,142.9,-112.76,0.0,top
J6,134.8,-113.3,270.0,top
J7,134.7,-122.4,270.0,top
J8,139.71,-133.75,90.0,top
R1,150.8,-84.2,270.0,top
R10,167.48,-105.5375,180.0,top
R11,150.8,-112.0,270.0,top
R12,163.78,-117.4,180.0,top
R13,170.78,-120.3,90.0,top
R14,173.35,-120.3,90.0,top
R15,163.796424,-119.832624,0.0,top
R16,152.15,-124.5,90.0,top
R17,170.78,-124.637624,90.0,top
R18,157.111414,-123.265124,270.0,top
R19,160.38,-133.502624,180.0,top
R2,163.88,-89.8,180.0,top
R20,167.38,-133.502624,0.0,top
R3,170.88,-92.7375,90.0,top
R4,173.08,-92.7375,270.0,top
R5,163.88,-92.1,180.0,top
R6,152.15,-96.4,90.0,top
R7,170.88,-97.1375,90.0,top
R8,157.18,-95.4375,270.0,top
R9,160.38,-105.5375,180.0,top
RA1,140.1,-83.4,180.0,top
RA2,139.85,-124.5,0.0,bottom
RV1,168.83,-84.5375,0.0,top
RV2,168.93,-112.0,0.0,top
U1,160.18,-102.7375,90.0,top
U2,160.18,-130.565124,90.0,top
